date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text
2015-11-13,14256.0,10800.0,14400.0,11520.0,119,AVTX,12600.0,,,,,,,,,,,,,
2015-11-16,11520.0,10771.2001953125,12960.0,12960.0,55,AVTX,11865.60009765625,,,,,,,,,,,,,
2015-11-17,12240.0,11520.0,12240.0,12240.0,9,AVTX,11880.0,,,,,,,,,,,,,
2015-11-18,12384.0,12096.0,13536.0,12960.0,12,AVTX,12816.0,,,,,,,,,,,,,
2015-11-19,11606.400390625,11520.0,12470.400390625,12470.400390625,1,AVTX,11995.2001953125,,,,,,,,11361.386610567488,13498.773545682512,8.246512724889122,-8.893168986709089,,
2015-11-20,12470.400390625,11520.0,12960.0,12672.0,19,AVTX,12240.0,,,,,,,,12100.129573886717,13220.830582363282,4.331049418902166,-4.512866367686885,,
2015-11-23,12700.7998046875,11952.0,12960.0,12096.0,4,AVTX,12456.0,,,,,,,,11873.112109874053,13102.248046375948,8.318849589748245,-1.8426578218084244,,
2015-11-24,11664.0,11520.0,12240.0,11520.0,2,AVTX,11880.0,,,,,,,,11346.284851747765,13341.075304502236,15.807945351581898,-1.507943995245098,,
2015-11-25,11462.400390625,11462.400390625,12556.7998046875,12556.7998046875,3,AVTX,12009.60009765625,,,,,,,,11425.638229057204,13100.441849067796,4.329463341267514,-9.008358763576286,,
2015-11-27,12816.0,12240.0,12988.7998046875,12614.400390625,11,AVTX,12614.39990234375,,,,,,,,11418.748602613747,13164.931475511252,4.364306410437124,-9.478467077197417,,
2015-11-30,12672.0,12096.0,12672.0,12096.0,0,AVTX,12384.0,,,,,,,,11386.532529668908,12966.747548456093,7.19864044689229,-5.865306467684295,,
2015-12-01,10944.0,10137.599609375,11001.599609375,10857.599609375,8,AVTX,10569.599609375,,,,,,,,10600.208643572107,13257.711278302893,22.105361730741247,-2.3706065342531946,,
2015-12-02,11520.0,10051.2001953125,11520.0,10483.2001953125,1,AVTX,10785.60009765625,,,,,,,,9951.863892553383,13491.336107446617,28.69482463455375,-5.068455174563013,,
2015-12-03,10483.2001953125,10483.2001953125,10483.2001953125,10483.2001953125,0,AVTX,10483.2001953125,,,,,,,,9542.551388339481,13071.208767910517,24.68719975180127,-8.972916566008383,,
2015-12-04,10771.2001953125,10224.0,10771.2001953125,10224.0,2,AVTX,10497.60009765625,34.73272117303766,,,,,,,9498.751355024868,12158.84864497513,18.924575948504806,-7.0935900330118535,,
2015-12-07,10224.0,10224.0,10224.0,10224.0,0,AVTX,10224.0,34.73272117303765,,,,,,,9989.300313910897,10919.499686089102,6.802618212921585,-2.2955759594004643,,
2015-12-08,9388.7998046875,7920.0,9388.7998046875,9244.7998046875,13,AVTX,8654.39990234375,28.115835540464417,,,,,,,9215.004082961255,11048.675995163743,19.512333729083053,-0.32229710059418215,,
